year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Dominique Wilkins	26	78	3049	23.3	0.536	0.037	0.372	9.5	12.9	11.2	11.7	2.2	0.9	10.2	32.9	7	3.9	10.8	0.17	3.5	0	3.5	4.3	50	0
1986	Randy Wittman	26	81	2760	13	0.555	0.018	0.153	2	4.7	3.4	15.8	1.4	0.3	10.8	15.6	3.9	2	5.9	0.103	0.7	-0.1	0.6	1.8	50	0
1986	Kevin Willis	23	82	2300	14.1	0.545	0.007	0.324	11.7	22	16.9	2.8	1.4	1.1	16	19.6	1.4	3.3	4.7	0.099	-1.1	0	-1.1	0.5	50	0
1986	Cliff Levingston	25	81	1945	14.7	0.572	0.002	0.439	11	19.3	15.1	5.1	1.9	1.2	14.7	16.2	2.6	2.9	5.5	0.136	0.4	1.4	1.7	1.8	50	0
1986	Tree Rollins	30	74	1781	11	0.537	0.003	0.259	8.1	20.2	14.2	3	1	5.5	19.1	10.9	0.5	3	3.4	0.093	-2.4	3.5	1.1	1.4	50	0
1986	Jon Koncak	22	82	1695	13	0.539	0.002	0.495	11.2	19.2	15.2	4.5	1	2.4	14.9	17.9	1.4	2.4	3.7	0.106	-1	0.7	-0.3	0.7	50	0
1986	Doc Rivers	24	53	1571	17.4	0.52	0.034	0.61	3.5	7.9	5.7	38.6	3.7	0.5	19.3	19	1.9	2.2	4.2	0.128	1.8	1	2.8	1.9	50	0
1986	Spud Webb	22	79	1229	18.5	0.578	0.027	0.667	2.4	8.6	5.5	38.7	3.2	0.2	23	23	1.9	1.6	3.5	0.137	1.5	-0.6	0.9	0.9	50	0
1986	Eddie Johnson	30	39	862	14.3	0.523	0.061	0.335	2.2	7.4	4.8	36.8	0.6	0.1	19.3	22.1	0.8	0.5	1.3	0.071	0.3	-2.6	-2.4	-0.1	50	0
1986	Scott Hastings	25	62	650	7.5	0.508	0.025	0.44	7.5	13.5	10.5	5.2	1	0.7	17.4	14.4	0.2	0.7	0.8	0.063	-2.5	0	-2.5	-0.1	50	0
1986	John Battle	23	64	639	11.7	0.518	0.032	0.464	2.1	8.6	5.3	16.3	1.7	0.3	15	20.1	0.4	0.6	1	0.074	-1.7	-1	-2.7	-0.1	50	0
1986	Johnny Davis	30	27	402	13.9	0.542	0.019	0.551	0.6	4.6	2.6	36.9	1.6	0	22.2	17.4	0.5	0.3	0.8	0.095	-1.7	-3.4	-5	-0.3	50	0
1986	Ray Williams	31	19	367	13.7	0.484	0.077	0.336	5.7	7.8	6.8	25.5	3.7	0.2	20	22.8	0	0.5	0.5	0.063	0.1	1.1	1.2	0.3	50	0
1986	Lorenzo Charles	22	36	273	11.5	0.587	0	0.409	5.3	10.5	7.9	4.2	0.4	1.3	14.8	18.2	0.3	0.2	0.5	0.086	-1.9	-1.5	-3.4	-0.1	50	0
1986	Antoine Carr	24	17	258	14.4	0.553	0	0.29	6.9	15.3	11.1	8	1.3	3.4	11.8	18.8	0.3	0.4	0.7	0.127	-0.7	1.1	0.4	0.2	50	0
1986	Sedric Toney	23	3	24	-5.5	0.336	0	0.143	0	9.2	4.6	0	2	0	28.7	17.8	-0.1	0	-0.1	-0.169	-10.7	-1.2	-11.9	-0.1	50	0
