,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1,Allonzo Trier,18-19,尼克斯,64,3,22.8,44.8%,3.6,8.1,39.4%,0.8,2.1,80.3%,2.8,3.5,3.1,0.5,2.6,1.9,0.4,0.2,1.8,1.8,10.9,13,51,6.8
1,2,Amile Jefferson,18-19,魔术,12,0,5.7,62.5%,0.8,1.3,0,0.0,0.0,87.5%,0.6,0.7,1.8,0.5,1.3,0.3,0.3,0.3,0.1,0.7,2.3,9,3,2.6
2,3,Angel Delgado,18-19,快船,2,0,7.5,20.0%,0.5,2.5,0,0.0,0.0,50.0%,0.5,1.0,2.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.5,0,2,0.9
3,4,Billy Garrett,18-19,尼克斯,4,0,16.0,40.7%,2.8,6.8,0.0%,0.0,2.0,100.0%,1.0,1.0,0.8,0.0,0.8,1.8,0.3,0.3,0.5,0.8,6.5,1,3,4.0
4,5,Bonzie Colson,18-19,雄鹿,8,2,12.3,33.3%,1.6,4.9,23.8%,0.6,2.6,88.9%,1.0,1.1,3.8,1.0,2.8,0.4,0.6,0.1,0.4,0.4,4.9,6,2,4.0
5,6,Brandon Sampson,18-19,公牛,14,2,15.3,46.7%,2.0,4.3,37.9%,0.8,2.1,66.7%,0.3,0.4,1.1,0.2,0.9,0.7,0.6,0.2,0.9,1.4,5.1,3,11,3.1
6,7,C.J. Miles,18-19,0,53,1,16.2,36.0%,2.1,5.9,33.0%,1.3,3.8,82.8%,0.9,1.1,1.8,0.2,1.5,0.7,0.5,0.3,0.6,1.5,6.4,33,20,3.7
7,8,C.J. 威廉姆斯,18-19,森林狼,15,0,8.7,48.6%,1.1,2.3,31.3%,0.3,1.1,0.0%,0.0,0.1,0.5,0.1,0.5,0.8,0.4,0.0,0.3,1.1,2.6,4,11,1.8
8,9,C.J.迈克鲁姆,18-19,开拓者,70,70,33.9,45.9%,8.2,17.8,37.5%,2.4,6.4,82.8%,2.3,2.7,4.0,0.9,3.1,3.0,0.8,0.4,1.5,2.5,21.0,43,27,13.8
9,10,Cameron Reynolds,18-19,森林狼,19,0,13.6,42.3%,1.7,4.1,41.2%,1.1,2.7,88.9%,0.4,0.5,1.6,0.2,1.4,0.7,0.3,0.1,0.3,1.4,5.0,6,13,3.4
10,11,Chris Chiozza,18-19,火箭,7,0,4.6,25.0%,0.3,1.1,40.0%,0.3,0.7,0,0.0,0.0,0.6,0.1,0.4,0.6,0.1,0.1,0.1,0.3,0.9,6,1,0.8
11,12,D.J.史蒂文斯,18-19,灰熊,1,0,7.0,50.0%,1.0,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0,1,1.0
12,13,D.J.威尔森,18-19,雄鹿,48,3,18.3,41.4%,2.2,5.2,36.2%,1.0,2.6,55.3%,0.5,1.0,4.6,0.9,3.7,1.1,0.4,0.4,0.7,1.8,5.8,37,11,4.7
13,14,Dairis Bertans,18-19,鹈鹕,12,0,13.9,25.5%,1.0,3.9,29.4%,0.8,2.8,0,0.0,0.0,0.8,0.2,0.6,0.8,0.1,0.0,0.2,0.6,2.8,3,9,1.1
14,15,Deng Adel,18-19,骑士,19,3,10.3,30.6%,0.6,1.9,26.1%,0.3,1.2,100.0%,0.2,0.2,1.0,0.2,0.8,0.3,0.1,0.2,0.3,0.7,1.7,4,15,0.7
15,16,DJ-奥古斯丁,18-19,魔术,81,81,28.0,47.0%,3.9,8.4,42.1%,1.6,3.8,86.6%,2.2,2.6,2.5,0.5,2.0,5.3,0.6,0.0,1.6,1.4,11.7,42,39,10.4
16,17,Donte Grantham,18-19,雷霆,3,0,1.0,0.0%,0.0,0.7,0.0%,0.0,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,-0.5
17,18,Dusty Hannahs,18-19,灰熊,2,0,13.0,25.0%,1.5,6.0,0.0%,0.0,2.5,100.0%,1.0,1.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.5,4.0,0,2,2.1
18,19,Emanuel Terry,18-19,0,3,0,7.7,57.1%,1.3,2.3,0,0.0,0.0,50.0%,0.7,1.3,2.3,1.0,1.3,0.7,1.0,0.0,0.7,1.3,3.3,0,3,3.3
19,20,Haywood Highsmith,18-19, 76人,5,0,8.0,40.0%,0.8,2.0,20.0%,0.2,1.0,0.0%,0.0,0.4,1.0,0.0,1.0,0.4,0.2,0.0,0.2,0.2,1.8,2,3,1.1
20,21,Ike Anigbogu,18-19,步行者,3,0,2.0,0.0%,0.0,1.0,0,0.0,0.0,0,0.0,0.0,1.0,0.3,0.7,0.3,0.0,0.3,0.3,0.0,0.0,2,1,-0.1
21,22,Isaac Humphries,18-19,老鹰,5,1,11.2,28.6%,1.2,4.2,27.3%,0.6,2.2,0,0.0,0.0,2.2,0.8,1.4,0.0,0.2,0.0,0.0,1.4,3.0,1,4,1.2
22,23,J.J.雷迪克,18-19, 76人,76,63,31.3,44.0%,5.9,13.5,39.7%,3.2,8.0,89.4%,3.0,3.4,2.4,0.3,2.2,2.7,0.4,0.2,1.3,1.7,18.1,49,27,12.1
23,24,J.P. Macura,18-19,黄蜂,2,0,8.5,33.3%,1.5,4.5,0.0%,0.0,2.0,0,0.0,0.0,1.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0,3.0,1,1,1.6
24,25,J.R.史密斯,18-19,骑士,11,4,20.1,34.2%,2.5,7.2,30.8%,1.1,3.5,80.0%,0.7,0.9,1.6,0.0,1.6,1.9,1.0,0.3,1.0,1.7,6.7,1,10,3.9
25,26,Jarred Vanderbilt,18-19,掘金,17,0,4.1,47.4%,0.5,1.1,0.0%,0.0,0.1,60.0%,0.4,0.6,1.4,0.4,0.9,0.2,0.4,0.1,0.5,0.5,1.4,10,7,1.2
26,27,Jemerrio Jones,18-19,湖人,6,2,23.7,36.4%,2.0,5.5,20.0%,0.3,1.7,50.0%,0.2,0.3,8.2,2.7,5.5,2.2,1.2,0.8,0.8,1.7,4.5,3,3,6.7
27,28,Joe Chealey,18-19,黄蜂,1,0,8.0,33.3%,1.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0,1,0.6
28,29,Jordan Sibert,18-19,老鹰,1,0,4.0,100.0%,1.0,1.0,100.0%,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,2.7
29,30,Josh Okogie,18-19,森林狼,74,52,23.8,38.6%,2.6,6.9,27.9%,0.8,2.9,72.8%,1.6,2.2,2.9,0.6,2.4,1.2,1.2,0.4,0.9,2.2,7.7,32,42,5.4
30,31,Julian Washburn,18-19,灰熊,18,3,14.0,33.3%,0.9,2.7,20.8%,0.3,1.3,75.0%,0.2,0.2,2.3,0.4,1.8,0.8,0.7,0.1,0.4,0.9,2.2,7,11,2.2
31,32,Kostas Antetokounmpo,18-19,独行侠,2,0,5.5,0.0%,0.0,1.5,0,0.0,0.0,50.0%,1.0,2.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1,1,0.2
32,33,Lonnie Walker IV,18-19,马刺,17,0,6.9,34.8%,0.9,2.7,38.5%,0.3,0.8,80.0%,0.5,0.6,1.0,0.0,1.0,0.5,0.4,0.2,0.2,0.4,2.6,12,5,1.9
33,34,Mitchell Creek,18-19,0,5,0,9.6,50.0%,1.6,3.2,0.0%,0.0,0.4,71.4%,1.0,1.4,2.4,1.2,1.2,1.2,0.4,0.0,0.2,0.6,4.2,1,4,4.4
34,35,OG-阿奴诺比,18-19,猛龙,67,6,20.3,45.3%,2.7,6.0,33.2%,1.0,3.0,58.1%,0.5,0.9,2.9,0.9,2.1,0.7,0.7,0.3,0.8,2.1,7.0,46,21,4.7
35,36,PJ-塔克,18-19,火箭,82,82,34.2,39.6%,2.5,6.4,37.7%,1.8,4.7,69.5%,0.5,0.7,5.8,1.5,4.4,1.2,1.6,0.5,0.8,3.1,7.3,53,29,6.9
36,37,Rawle Alkins,18-19,公牛,10,1,12.1,33.3%,1.3,3.9,25.0%,0.3,1.2,66.7%,0.8,1.2,2.6,1.1,1.5,1.3,0.1,0.0,0.8,0.7,3.7,3,7,2.5
37,38,RJ-亨特,18-19,凯尔特,1,0,26.0,46.2%,6.0,13.0,40.0%,4.0,10.0,50.0%,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,17.0,1,0,13.1
38,39,T.J. 麦康诺,18-19, 76人,76,3,19.3,52.5%,2.9,5.5,33.3%,0.2,0.6,78.4%,0.4,0.5,2.3,0.4,1.9,3.4,1.0,0.2,1.2,1.4,6.4,46,30,6.3
39,40,Tahjere McCall,18-19,篮网,1,0,8.0,66.7%,2.0,3.0,0.0%,0.0,1.0,0.0%,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0,1,1.8
40,41,TJ-利夫,18-19,步行者,58,1,9.0,54.1%,1.7,3.2,25.8%,0.1,0.5,61.3%,0.3,0.5,2.2,0.7,1.4,0.4,0.2,0.3,0.2,0.6,3.9,35,23,3.4
41,42,TJ-沃伦,18-19,太阳,43,36,31.7,48.6%,6.9,14.2,42.8%,1.8,4.2,81.5%,2.3,2.9,4.0,0.7,3.3,1.5,1.2,0.7,1.2,2.8,18.0,10,33,12.4
42,43,Trevon Duval,18-19,雄鹿,3,0,1.7,66.7%,0.7,1.0,100.0%,0.3,0.3,0,0.0,0.0,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.7,2,1,1.8
43,44,Troy Caupain,18-19,魔术,4,0,3.8,50.0%,1.0,2.0,66.7%,0.5,0.8,0,0.0,0.0,0.8,0.3,0.5,1.0,0.3,0.0,0.0,0.0,2.5,3,1,2.8
44,45,Yante Maten,18-19,热火,2,0,6.5,25.0%,0.5,2.0,0.0%,0.0,0.5,0,0.0,0.0,1.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1,1,1.0
45,46,Zhaire Smith,18-19, 76人,6,2,18.7,41.2%,2.3,5.7,37.5%,1.0,2.7,75.0%,1.0,1.3,2.2,0.5,1.7,1.7,0.3,0.3,1.0,1.3,6.7,2,4,4.6
46,47,丹伊恩-多特森,18-19,尼克斯,73,40,27.4,41.5%,4.0,9.6,36.8%,1.7,4.7,74.5%,1.0,1.3,3.6,0.5,3.1,1.8,0.8,0.1,1.0,1.8,10.7,12,61,7.2
47,48,丹尼-格林,18-19,猛龙,80,80,27.7,46.5%,3.7,7.9,45.5%,2.5,5.4,84.1%,0.5,0.6,4.0,0.8,3.2,1.6,0.9,0.7,0.9,2.1,10.3,56,24,8.4
48,49,丹尼尔-汉密尔顿,18-19,老鹰,19,3,10.8,38.3%,1.2,3.2,34.8%,0.4,1.2,50.0%,0.2,0.3,2.5,0.5,1.9,1.2,0.3,0.1,0.8,1.0,3.0,7,12,2.1
49,50,丹尼尔-泰斯,18-19,凯尔特,66,2,13.7,54.9%,2.2,4.0,38.8%,0.4,1.0,73.7%,0.8,1.2,3.4,1.3,2.1,1.0,0.3,0.6,0.5,2.4,5.7,38,28,5.2
50,51,丹尼斯-施罗德,18-19,雷霆,79,14,29.3,41.4%,5.8,14.0,34.1%,1.6,4.6,81.9%,2.4,2.9,3.6,0.5,3.1,4.1,0.8,0.2,2.2,2.4,15.5,47,32,9.7
51,52,丹特-埃萨姆,18-19,爵士,42,1,15.8,41.9%,2.4,5.7,29.0%,0.4,1.5,79.1%,1.6,2.0,1.6,0.4,1.2,2.6,0.3,0.1,1.2,1.6,6.9,21,21,4.6
52,53,丹特-康宁汉姆,18-19,马刺,64,21,14.5,47.5%,1.2,2.5,46.2%,0.5,1.0,77.8%,0.2,0.3,2.9,0.8,2.2,0.8,0.4,0.2,0.3,1.1,3.0,36,28,3.3
53,54,丹特-迪文森佐,18-19,雄鹿,27,0,15.3,40.3%,1.9,4.6,26.5%,0.8,3.1,75.0%,0.3,0.4,2.4,0.6,1.8,1.1,0.5,0.2,0.7,1.4,4.9,20,7,3.5
54,55,丹纽尔-豪斯,18-19,火箭,39,13,25.1,46.8%,3.0,6.5,41.6%,1.9,4.6,78.9%,1.4,1.8,3.6,0.6,2.9,1.0,0.5,0.3,0.9,2.1,9.4,27,12,7.0
55,56,乌杜尼斯-哈斯勒姆,18-19,热火,10,1,7.6,33.3%,1.1,3.3,0.0%,0.0,1.2,75.0%,0.3,0.4,2.7,0.3,2.4,0.2,0.0,0.0,0.3,0.9,2.5,8,2,1.0
56,57,乔-哈里斯,18-19,篮网,76,76,30.2,50.0%,4.9,9.8,47.4%,2.4,5.1,82.7%,1.4,1.8,3.8,0.7,3.1,2.4,0.5,0.2,1.6,2.4,13.7,41,35,9.9
57,58,乔-英格尔斯,18-19,爵士,82,82,31.3,44.8%,4.4,9.8,39.1%,2.3,5.9,70.7%,1.1,1.5,4.0,0.4,3.6,5.7,1.2,0.2,2.4,2.2,12.1,50,32,10.4
58,59,乔丹-克拉克森,18-19,骑士,81,0,27.4,44.8%,6.5,14.6,32.4%,1.8,5.5,84.4%,2.0,2.4,3.3,1.0,2.3,2.4,0.7,0.2,1.7,1.4,16.8,18,63,10.8
59,60,乔丹-劳埃德,18-19,猛龙,12,0,4.4,44.4%,0.7,1.5,50.0%,0.3,0.7,81.8%,0.8,0.9,0.8,0.1,0.7,0.5,0.0,0.0,0.2,0.4,2.4,11,1,1.8
60,61,乔丹-贝尔,18-19,勇士,68,3,11.6,51.6%,1.5,2.8,0.0%,0.0,0.0,61.0%,0.4,0.6,2.7,0.8,1.9,1.1,0.3,0.8,0.6,1.2,3.3,46,22,3.4
61,62,乔丹-麦克雷,18-19,奇才,27,0,12.3,46.9%,2.3,4.8,28.6%,0.4,1.3,80.0%,1.0,1.3,1.5,0.2,1.3,1.1,0.5,0.3,0.6,1.0,5.9,9,18,4.4
62,63,乔尔-恩比德,18-19, 76人,64,64,33.7,48.4%,9.1,18.7,30.0%,1.2,4.1,80.4%,8.2,10.1,13.6,2.5,11.1,3.7,0.7,1.9,3.5,3.3,27.5,43,21,22.1
63,64,乔恩-洛伊尔,18-19,活塞,41,1,9.9,58.4%,1.6,2.8,9.1%,0.0,0.3,74.2%,0.6,0.8,2.4,0.7,1.7,0.3,0.3,0.1,0.6,1.5,3.8,16,25,2.9
64,65,乔治-尼昂,18-19,爵士,59,0,8.8,47.5%,1.5,3.1,41.0%,0.7,1.8,83.3%,0.3,0.4,1.5,0.2,1.3,0.6,0.2,0.1,0.4,1.0,4.0,41,18,2.8
65,66,乔治-希尔,18-19,0,60,13,21.7,45.2%,2.8,6.3,31.4%,0.8,2.6,82.4%,1.2,1.4,2.5,0.7,1.8,2.3,0.9,0.1,0.9,1.7,7.6,39,21,6.3
66,67,乔治-金,18-19,太阳,1,0,6.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.3
67,68,乔纳-博尔登,18-19, 76人,44,10,14.6,49.4%,1.8,3.7,35.4%,0.8,2.2,48.1%,0.3,0.6,3.8,1.1,2.7,0.9,0.4,0.9,0.8,2.3,4.7,24,20,4.2
68,69,乔纳森-威廉姆斯,18-19,湖人,24,0,15.5,59.1%,2.7,4.6,0.0%,0.0,0.1,56.3%,1.1,2.0,4.1,2.0,2.1,0.5,0.3,0.3,0.7,2.6,6.5,10,14,5.3
69,70,乔纳森-艾萨克,18-19,魔术,75,64,26.6,42.9%,3.5,8.1,32.3%,1.1,3.5,81.5%,1.5,1.8,5.5,1.3,4.2,1.1,0.8,1.3,1.0,1.9,9.6,37,38,8.0
70,71,乔纳森-莫特利,18-19,快船,22,0,7.0,53.4%,1.8,3.3,0.0%,0.0,0.1,60.0%,1.1,1.8,2.3,0.8,1.5,0.5,0.2,0.1,0.7,1.2,4.6,12,10,3.2
71,72,乔纳森-西蒙斯,18-19,0,56,9,19.1,38.0%,2.4,6.3,26.9%,0.5,1.9,74.2%,1.3,1.7,2.3,0.5,1.8,2.3,0.5,0.3,1.2,1.6,6.5,25,31,4.3
72,73,乔金-诺阿,18-19,灰熊,42,1,16.5,51.6%,2.6,5.1,0.0%,0.0,0.0,71.6%,1.9,2.6,5.7,1.4,4.3,2.1,0.5,0.7,1.2,2.3,7.1,14,28,6.9
73,74,亚历克-伯克斯,18-19,0,64,24,21.5,40.5%,3.0,7.4,36.3%,1.0,2.6,82.3%,1.8,2.2,3.7,0.5,3.2,2.0,0.6,0.3,1.0,1.4,8.8,19,45,6.6
74,75,亚历克斯-卡鲁索,18-19,湖人,25,4,21.2,44.5%,3.1,6.9,48.0%,1.0,2.0,79.7%,2.0,2.6,2.7,0.8,1.9,3.1,1.0,0.4,1.7,2.2,9.2,8,17,7.3
75,76,亚历克斯-珀伊斯瑞斯,18-19,老鹰,21,1,14.5,49.4%,1.9,3.9,39.1%,0.4,1.1,62.1%,0.9,1.4,3.6,1.4,2.2,0.8,0.2,0.5,0.6,2.2,5.1,7,14,4.2
76,77,亨利-埃伦森,18-19,0,19,0,13.6,41.1%,2.1,5.0,44.7%,0.9,2.0,76.0%,1.0,1.3,3.5,0.3,3.2,0.8,0.4,0.1,0.5,1.4,6.0,4,15,4.3
77,78,以赛亚-哈尔滕施泰因,18-19,火箭,28,0,8.0,48.8%,0.7,1.5,33.3%,0.1,0.2,78.6%,0.4,0.5,1.7,0.8,0.9,0.5,0.3,0.4,0.5,2.0,1.9,15,13,1.6
78,79,以赛亚-坎南,18-19,0,30,16,21.0,39.0%,2.1,5.5,35.4%,1.1,3.2,79.2%,0.6,0.8,1.9,0.2,1.7,2.8,0.5,0.1,1.2,1.7,6.0,10,20,4.3
79,80,以赛亚-布里斯科,18-19,魔术,39,0,14.3,39.9%,1.4,3.5,32.4%,0.3,0.9,57.7%,0.4,0.7,1.9,0.1,1.8,2.2,0.3,0.1,0.8,1.7,3.5,17,22,2.5
80,81,以赛亚-希克斯,18-19,尼克斯,3,0,11.0,50.0%,1.3,2.7,0,0.0,0.0,80.0%,1.3,1.7,2.3,0.7,1.7,0.7,0.3,1.0,0.3,1.7,4.0,1,2,4.0
81,82,以赛亚-托马斯,18-19,掘金,12,0,15.1,34.3%,2.8,8.3,27.9%,1.0,3.6,63.0%,1.4,2.3,1.1,0.4,0.7,1.9,0.4,0.1,1.5,1.4,8.1,6,6,3.4
82,83,伊凡-拉布,18-19,灰熊,49,13,14.8,54.7%,2.4,4.3,20.0%,0.1,0.3,71.0%,1.0,1.4,4.2,1.4,2.8,1.1,0.3,0.3,0.7,1.8,5.8,20,29,5.3
83,84,伊安-马辛米,18-19,奇才,34,6,14.6,45.2%,1.4,3.1,18.8%,0.1,0.5,68.9%,1.2,1.8,3.8,1.4,2.4,0.7,0.7,0.5,0.6,2.5,4.1,12,22,3.9
84,85,伊恩-克拉克,18-19,鹈鹕,60,6,16.3,39.4%,2.5,6.4,32.7%,1.1,3.4,89.2%,0.6,0.6,1.5,0.2,1.3,1.6,0.4,0.1,1.0,1.6,6.7,24,36,3.7
85,86,伊托万-摩尔,18-19,鹈鹕,53,36,27.6,48.1%,4.8,10.0,43.2%,1.4,3.3,76.3%,0.8,1.1,2.4,0.7,1.7,1.9,0.8,0.2,1.1,2.1,11.9,21,32,8.0
86,87,伊斯梅尔-史密斯,18-19,活塞,56,0,22.4,41.9%,3.7,8.7,32.6%,0.8,2.4,75.8%,0.8,1.1,2.6,0.4,2.2,3.6,0.5,0.2,1.1,1.9,8.9,33,23,6.4
87,88,伊曼-香珀特,18-19,0,62,41,23.9,37.4%,2.7,7.2,34.8%,1.5,4.4,80.0%,0.6,0.7,3.0,0.4,2.5,1.8,1.0,0.4,0.8,2.0,7.5,39,23,5.4
88,89,伊曼纽尔-穆迪埃,18-19,尼克斯,59,42,27.3,44.6%,5.6,12.5,32.9%,1.2,3.6,77.4%,2.4,3.2,3.3,0.6,2.8,3.9,0.7,0.3,2.4,1.7,14.8,13,46,9.8
89,90,伊维察-祖巴茨,18-19,0,59,37,17.6,55.9%,3.6,6.4,0,0.0,0.0,80.2%,1.7,2.1,6.1,1.9,4.2,1.1,0.2,0.9,1.2,2.3,8.9,32,27,7.8
90,91,伊萨卡-邦加,18-19,湖人,22,0,5.4,15.2%,0.2,1.5,0.0%,0.0,0.4,60.0%,0.4,0.7,1.1,0.4,0.7,0.7,0.4,0.2,0.3,0.4,0.9,7,15,0.9
91,92,何塞-卡尔德隆,18-19,活塞,49,0,13.0,37.5%,0.9,2.4,24.6%,0.3,1.2,81.8%,0.2,0.2,1.2,0.2,1.0,2.3,0.3,0.1,0.7,1.3,2.3,22,27,2.2
92,93,何塞-巴里亚,18-19,独行侠,38,0,19.8,41.8%,4.2,10.1,29.7%,1.0,3.4,70.5%,1.4,2.1,2.5,0.3,2.2,5.6,0.6,0.0,1.9,1.3,10.9,20,18,8.2
93,94,保罗-乔治,18-19,雷霆,77,77,36.9,43.8%,9.2,21.0,38.6%,3.8,9.8,83.9%,5.9,7.0,8.2,1.4,6.8,4.1,2.2,0.4,2.7,2.8,28.0,46,31,21.2
94,95,保罗-加索尔,18-19,0,30,6,12.0,44.7%,1.4,3.1,46.2%,0.2,0.4,70.0%,0.9,1.3,4.6,0.7,3.8,1.7,0.2,0.5,0.5,1.0,3.9,17,13,4.6
