,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,17-18,85.15%,36.75%,詹姆斯-哈登,72,72,35.4,44.9%,9.0,20.1,36.7%,3.7,10.0,85.8%,8.7,10.1,5.4,0.6,4.8,8.8,1.8,0.7,4.4,2.3,30.4
1,17-18,14.85%,28.10%,勒布朗-詹姆斯,82,82,36.9,54.2%,10.5,19.3,36.7%,1.8,5.0,73.1%,4.7,6.5,8.6,1.2,7.5,9.1,1.4,0.9,4.2,1.7,27.5
2,17-18,00.00%,16.95%,安东尼-戴维斯,75,75,36.4,53.4%,10.4,19.5,34.0%,0.7,2.2,82.8%,6.6,8.0,11.1,2.5,8.6,2.3,1.5,2.6,2.2,2.1,28.1
3,17-18,00.00%,07.88%,达米安-利拉德,73,73,36.6,43.9%,8.5,19.4,36.1%,3.1,8.6,91.6%,6.8,7.4,4.5,0.8,3.6,6.6,1.1,0.4,2.8,1.6,26.9
4,17-18,00.00%,02.89%,拉塞尔-威斯布鲁克,80,80,36.5,44.9%,9.5,21.1,29.8%,1.2,4.1,73.7%,5.2,7.1,10.1,1.9,8.2,10.3,1.8,0.3,4.8,2.5,25.4
5,17-18,00.00%,02.86%,扬尼斯-阿德托昆博,75,75,36.8,52.9%,9.9,18.7,30.7%,0.6,1.9,76.0%,6.5,8.5,10.0,2.1,8.0,4.8,1.5,1.4,3.0,3.1,26.9
6,17-18,00.00%,02.51%,凯文-杜兰特,68,68,34.3,51.6%,9.3,18.0,41.9%,2.5,6.1,88.9%,5.3,5.9,6.8,0.5,6.4,5.4,0.7,1.8,3.0,2.0,26.4
7,17-18,00.00%,01.22%,德玛尔-德罗赞,80,80,33.9,45.6%,8.1,17.7,31.0%,1.1,3.6,82.5%,5.8,7.0,3.9,0.7,3.2,5.2,1.1,0.3,2.2,1.9,23.0
8,17-18,00.00%,00.23%,拉玛库斯-阿尔德里奇,75,75,33.5,51.0%,9.2,18.0,29.3%,0.4,1.2,83.7%,4.5,5.3,8.5,3.3,5.2,2.0,0.6,1.2,1.5,2.1,23.1
9,17-18,00.00%,00.19%,吉米-巴特勒,59,59,36.7,47.4%,7.4,15.6,35.0%,1.2,3.4,85.4%,6.2,7.2,5.3,1.3,4.0,4.9,2.0,0.4,1.8,1.3,22.2
10,17-18,00.00%,00.19%,斯蒂芬-库里,51,51,32.0,49.5%,8.4,16.9,42.3%,4.2,9.8,92.1%,5.5,5.9,5.1,0.7,4.4,6.1,1.6,0.2,3.0,2.2,26.4
11,17-18,00.00%,00.15%,乔尔-恩比德,63,63,30.4,48.3%,8.1,16.8,30.8%,1.0,3.4,76.9%,5.7,7.4,11.0,2.3,8.7,3.2,0.6,1.8,3.7,3.3,22.9
12,17-18,00.00%,00.08%,维克多-奥拉迪波,75,75,34.1,47.7%,8.5,17.9,37.1%,2.1,5.8,79.9%,3.9,4.9,5.2,0.6,4.6,4.3,2.4,0.8,2.9,2.3,23.1
13,16-17,68.32%,33.82%,拉塞尔-威斯布鲁克,81,81,34.6,42.5%,10.2,24.0,34.3%,2.5,7.2,84.5%,8.8,10.4,10.7,1.7,9.0,10.4,1.6,0.4,5.4,2.3,31.6
14,16-17,21.78%,28.67%,詹姆斯-哈登,81,81,36.5,44.0%,8.3,18.9,34.7%,3.2,9.3,84.7%,9.2,10.9,8.1,1.2,7.0,11.2,1.5,0.5,5.7,2.7,29.1
15,16-17,08.91%,19.04%,科怀-伦纳德,74,74,33.5,48.5%,8.6,17.7,38.0%,2.0,5.2,88.0%,6.3,7.2,5.8,1.1,4.7,3.5,1.8,0.7,2.1,1.6,25.5
16,16-17,00.99%,12.68%,勒布朗-詹姆斯,74,74,37.8,54.8%,9.9,18.2,36.3%,1.7,4.6,67.4%,4.8,7.2,8.6,1.3,7.3,8.7,1.2,0.6,4.1,1.8,26.4
17,16-17,00.00%,03.08%,以赛亚-托马斯,76,76,33.8,46.3%,9.0,19.4,37.9%,3.2,8.5,90.9%,7.8,8.5,2.7,0.6,2.1,5.9,0.9,0.2,2.8,2.2,28.9
18,16-17,00.00%,01.98%,斯蒂芬-库里,79,79,33.4,46.8%,8.5,18.3,41.1%,4.1,10.0,89.8%,4.1,4.6,4.5,0.8,3.7,6.6,1.8,0.2,3.0,2.3,25.3
