赛季,球员,联盟,出场,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
17-18,詹姆斯-哈登,NBA,72,72,35.4,44.90%,9,20.1,36.70%,3.7,10,85.80%,8.7,10.1,5.4,0.6,4.8,8.8,1.8,0.7,4.4,2.3,30.4
16-17,拉塞尔-威斯布鲁克,NBA,81,81,34.6,42.50%,10.2,24,34.30%,2.5,7.2,84.50%,8.8,10.4,10.7,1.7,9,10.4,1.6,0.4,5.4,2.3,31.6
15-16,斯蒂芬-库里,NBA,79,79,34.2,50.40%,10.2,20.2,45.40%,5.1,11.2,90.80%,4.6,5.1,5.4,0.9,4.6,6.7,2.1,0.2,3.3,2,30.1
14-15,斯蒂芬-库里,NBA,80,80,32.7,48.70%,8.2,16.8,44.30%,3.6,8.1,91.40%,3.9,4.2,4.3,0.7,3.6,7.7,2,0.2,3.1,2,23.8
13-14,凯文-杜兰特,NBA,81,81,38.5,50.30%,10.5,20.8,39.10%,2.4,6.1,87.30%,8.7,9.9,7.4,0.7,6.7,5.5,1.3,0.7,3.5,2.1,32
12-13,勒布朗-詹姆斯,NBA,76,76,37.9,56.50%,10.1,17.8,40.60%,1.4,3.3,75.30%,5.3,7,8,1.3,6.8,7.3,1.7,0.9,3,1.4,26.8
11-12,勒布朗-詹姆斯,NBA,62,62,37.5,53.10%,10,18.9,36.20%,0.9,2.4,77.10%,6.2,8.1,7.9,1.5,6.4,6.2,1.9,0.8,3.4,1.5,27.1
10-11,德里克-罗斯,NBA,81,81,37.4,44.50%,8.8,19.7,33.20%,1.6,4.8,85.80%,5.9,6.9,4.1,1,3.1,7.7,1,0.6,3.4,1.7,25
09-10,勒布朗-詹姆斯,NBA,76,76,39,50.30%,10.1,20.1,33.30%,1.7,5.1,76.70%,7.8,10.2,7.3,0.9,6.4,8.6,1.6,1,3.4,1.6,29.7
08-09,勒布朗-詹姆斯,NBA,81,81,37.7,48.90%,9.7,19.9,34.40%,1.6,4.7,78.00%,7.3,9.4,7.6,1.3,6.3,7.2,1.7,1.1,3,1.7,28.4
07-08,科比-布莱恩特,NBA,82,82,38.9,45.90%,9.5,20.6,36.10%,1.8,5.1,84.00%,7.6,9,6.3,1.1,5.2,5.4,1.8,0.5,3.1,2.8,28.3
06-07,德克-诺维茨基,NBA,78,78,36.2,50.20%,8.6,17.2,41.60%,0.9,2.2,90.40%,6.4,7.1,8.9,1.6,7.3,3.4,0.7,0.8,2.1,2.2,24.6
05-06,史蒂夫-纳什,NBA,79,79,35.4,51.20%,6.8,13.4,43.90%,1.9,4.3,92.10%,3.3,3.5,4.2,0.6,3.6,10.5,0.8,0.2,3.5,1.5,18.8
04-05,史蒂夫-纳什,NBA,75,75,34.3,50.20%,5.7,11.4,43.10%,1.3,2.9,88.70%,2.8,3.2,3.3,0.8,2.6,11.5,1,0.1,3.3,1.8,15.5
03-04,凯文-加内特,NBA,82,82,39.4,49.90%,9.8,19.6,25.60%,0.1,0.5,79.10%,4.5,5.7,13.9,3,10.9,5,1.5,2.2,2.6,2.5,24.2
02-03,蒂姆-邓肯,NBA,81,81,39.3,51.30%,8.8,17.2,27.30%,0.1,0.3,71.00%,5.6,7.8,12.9,3.2,9.7,3.9,0.7,2.9,3.1,2.9,23.3
01-02,蒂姆-邓肯,NBA,82,82,40.6,50.80%,9.3,18.3,10.00%,0,0.1,79.90%,6.8,8.5,12.7,3.3,9.4,3.7,0.7,2.5,3.2,2.6,25.5
00-01,阿伦-艾弗森,NBA,71,71,42,42.00%,10.7,25.5,32.00%,1.4,4.3,81.40%,8.2,10.1,3.8,0.7,3.1,4.6,2.5,0.3,3.3,2.1,31.1
99-00,沙奎尔-奥尼尔,NBA,79,79,40,57.40%,12.1,21.1,0.00%,0,0,52.40%,5.5,10.4,13.6,4.3,9.4,3.8,0.5,3,2.8,3.2,29.7
98-99,卡尔-马龙,NBA,49,49,37.4,49.30%,8,16.3,0.00%,0,0,78.80%,7.7,9.8,9.4,2.2,7.3,4.1,1.3,0.6,3.3,2.7,23.8
97-98,迈克尔-乔丹,NBA,82,82,38.8,46.50%,10.7,23.1,23.80%,0.4,1.5,78.40%,6.9,8.8,5.8,1.6,4.2,3.5,1.7,0.5,2.3,1.8,28.7
96-97,卡尔-马龙,NBA,82,82,36.6,55.00%,10.5,19.2,0.00%,0,0.2,75.50%,6.4,8.4,9.9,2.4,7.5,4.5,1.4,0.6,2.8,2.6,27.4
95-96,迈克尔-乔丹,NBA,82,82,37.7,49.50%,11.2,22.6,42.70%,1.4,3.2,83.40%,6.7,8,6.6,1.8,4.8,4.3,2.2,0.5,2.4,2.4,30.4
94-95,大卫-罗宾逊,NBA,81,81,38,53.00%,9.7,18.4,30.00%,0.1,0.2,77.40%,8.1,10.5,10.8,2.9,7.9,2.9,1.7,3.2,2.9,2.8,27.6
93-94,哈基姆-奥拉朱旺,NBA,80,80,41,52.80%,11.2,21.2,42.10%,0.1,0.2,71.60%,4.9,6.8,11.9,2.9,9.1,3.6,1.6,3.7,3.4,3.6,27.3
92-93,查尔斯-巴克利,NBA,76,76,37.6,52.00%,9.4,18.1,30.50%,0.9,2.9,76.50%,5.9,7.7,12.2,3.1,9.1,5.1,1.6,1,3.1,2.6,25.6
91-92,迈克尔-乔丹,NBA,80,80,38.8,51.90%,11.8,22.7,27.00%,0.3,1.3,83.20%,6.1,7.4,6.4,1.1,5.3,6.1,2.3,0.9,2.5,2.5,30.1
90-91,迈克尔-乔丹,NBA,82,82,37,53.90%,12.1,22.4,31.20%,0.4,1.1,85.10%,7,8.2,6,1.4,4.6,5.5,2.7,1,2.5,2.8,31.5
89-90,埃尔文-约翰逊,NBA,79,79,37.2,48.00%,6.9,14.4,38.40%,1.3,3.5,89.00%,7.2,8.1,6.6,1.6,5,11.5,1.7,0.4,3.7,2.1,22.3
88-89,埃尔文-约翰逊,NBA,77,77,37.5,50.90%,7.5,14.8,31.40%,0.8,2.4,91.10%,6.7,7.3,7.9,1.4,6.4,12.8,1.8,0.3,4.1,2.2,22.5
87-88,迈克尔-乔丹,NBA,82,82,40.4,53.50%,13,24.4,13.20%,0.1,0.6,84.10%,8.8,10.5,5.5,1.7,3.8,5.9,3.2,1.6,3.1,3.3,35
86-87,埃尔文-约翰逊,NBA,80,80,36.3,52.20%,8.5,16.4,20.50%,0.1,0.5,84.80%,6.7,7.9,6.3,1.5,4.8,12.2,1.7,0.5,3.8,2.1,23.9
85-86,拉里-伯德,NBA,82,81,38,49.60%,9.7,19.6,42.30%,1,2.4,89.60%,5.4,6,9.8,2.3,7.5,6.8,2,0.6,3.2,2.2,25.8
84-85,拉里-伯德,NBA,80,77,39.5,52.20%,11.5,22,42.70%,0.7,1.6,88.20%,5,5.7,10.5,2.1,8.5,6.6,1.6,1.2,3.1,2.6,28.7
83-84,拉里-伯德,NBA,79,77,38.3,49.20%,9.6,19.5,24.70%,0.2,0.9,88.80%,4.7,5.3,10.1,2.3,7.8,6.6,1.8,0.9,3,2.5,24.2
82-83,摩西-马龙,NBA,78,78,37.5,50.10%,8.4,16.7,0.00%,0,0,76.10%,7.7,10.1,15.3,5.7,9.6,1.3,1.1,2,3.4,2.6,24.5
81-82,摩西-马龙,NBA,81,81,42,51.90%,11.7,22.5,0.00%,0,0.1,76.20%,7.8,10.2,14.7,6.9,7.8,1.8,0.9,1.5,3.6,2.6,31.1
80-81,朱利叶斯-欧文,NBA,82,,35,52.10%,9.7,18.6,22.20%,0,0.2,78.70%,5.1,6.5,8,3,5,4.4,2.1,1.8,3.2,2.8,24.6
79-80,卡里姆-贾巴尔,NBA,82,,38.3,60.40%,10.2,16.9,0.00%,0,0,76.50%,4.4,5.8,10.8,2.3,8.5,4.5,1,3.4,3.6,2.6,24.8
78-79,摩西-马龙,NBA,82,,41.3,54.00%,8.7,16.2,,,,73.90%,7.3,9.9,17.6,7.2,10.5,1.8,1,1.5,4,2.7,24.8
77-78,比尔-沃顿,NBA,58,,33.3,52.20%,7.9,15.2,,,,72.00%,3.1,4.2,13.2,2,11.2,5,1,2.5,3.6,2.5,18.9
76-77,卡里姆-贾巴尔,NBA,82,,36.8,57.90%,10.8,18.7,,,,70.10%,4.6,6.5,13.3,3.2,10,3.9,1.2,3.2,,3.2,26.2
75-76,卡里姆-贾巴尔,NBA,82,,41.2,52.90%,11.1,21.1,,,,70.30%,5.5,7.8,16.9,3.3,13.5,5,1.5,4.1,,3.6,27.7
74-75,鲍伯-麦克阿杜,NBA,82,,43.2,51.20%,13.4,26.1,,,,80.50%,7.8,9.7,14.1,3.7,10.3,2.2,1.1,2.1,,3.4,34.5
73-74,卡里姆-贾巴尔,NBA,81,,43.8,53.90%,11.7,21.7,,,,70.20%,3.6,5.2,14.5,3.5,11,4.8,1.4,3.5,,2.9,27
72-73,戴夫-考文斯,NBA,82,,41.8,45.20%,9,20,,,,77.90%,2.5,3.2,16.2,,,4.1,,,,3.8,20.5
71-72,卡里姆-贾巴尔,NBA,81,,44.2,57.40%,14.3,24.9,,,,68.90%,6.2,9,16.6,,,4.6,,,,2.9,34.8
70-71,卡里姆-贾巴尔,NBA,82,,40.1,57.70%,13,22.5,,,,69.00%,5.7,8.3,16,,,3.3,,,,3.2,31.7
69-70,威利斯-里德,NBA,81,,38.1,50.70%,8.7,17.1,,,,75.60%,4.3,5.7,13.9,,,2,,,,3.5,21.7
68-69,韦斯-昂塞尔德,NBA,82,,36.2,47.60%,5.2,10.9,,,,60.50%,3.4,5.6,18.2,,,2.6,,,,3.4,13.8
67-68,威尔特-张伯伦,NBA,82,,46.8,59.50%,10,16.8,,,,38.00%,4.3,11.4,23.8,,,8.6,,,,2,24.3
66-67,威尔特-张伯伦,NBA,81,,45.5,68.30%,9.7,14.2,,,,44.10%,4.8,10.8,24.2,,,7.8,,,,1.8,24.1
65-66,威尔特-张伯伦,NBA,79,,47.3,54.00%,13.6,25.2,,,,51.30%,6.3,12.4,24.6,,,5.2,,,,2.2,33.5
64-65,比尔-拉塞尔,NBA,78,,44.4,43.80%,5.5,12.6,,,,57.30%,3.1,5.5,24.1,,,5.3,,,,2.6,14.1
63-64,奥斯卡-罗波特森,NBA,79,,45.1,48.30%,10.6,22,,,,85.30%,10.1,11.9,9.9,,,11,,,,3.5,31.4
62-63,比尔-拉塞尔,NBA,78,,44.9,43.20%,6.6,15.2,,,,55.50%,3.7,6.6,23.6,,,4.5,,,,2.4,16.8
61-62,比尔-拉塞尔,NBA,76,,45.2,45.70%,7.6,16.6,,,,59.50%,3.8,6.3,23.6,,,4.5,,,,2.7,18.9
60-61,比尔-拉塞尔,NBA,78,,44.3,42.60%,6.8,16,,,,55.00%,3.3,6,23.9,,,3.4,,,,2,16.9
59-60,威尔特-张伯伦,NBA,72,,46.4,46.10%,14.8,32.1,,,,58.20%,8,13.8,27,,,2.3,,,,2.1,37.6
58-59,鲍勃-佩蒂特,NBA,72,,39.9,43.80%,10,22.8,,,,75.90%,9.3,12.2,16.4,,,3.1,,,,2.8,29.2
57-58,比尔-拉塞尔,NBA,69,,38.3,44.20%,6.6,15,,,,51.90%,3.3,6.4,22.7,,,2.9,,,,2.6,16.6
56-57,鲍勃-库西,NBA,64,,36.9,37.80%,7.5,19.8,,,,82.10%,5.7,6.9,4.8,,,7.5,,,,2.1,20.6
55-56,鲍勃-佩蒂特,NBA,72,,38.8,42.90%,9,20.9,,,,73.60%,7.7,10.5,16.2,,,2.6,,,,2.8,25.7
赛季,球员,联盟,出场,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
75-76,朱利叶斯-欧文,ABA,84,,38.6,50.70%,11.3,22.3,33.00%,0.4,1.2,80.10%,6.3,7.9,11,4,7,5,2.5,1.9,3.7,2.6,29.3
74-75,朱利叶斯-欧文,ABA,84,,40.5,50.60%,10.9,21.5,33.30%,0.3,1,79.90%,5.8,7.2,10.9,3.4,7.5,5.5,2.2,1.9,3.6,3,27.9
74-75,乔治-麦克吉尼斯,ABA,79,,40.4,45.10%,11.1,24.5,35.40%,0.8,2.2,72.40%,6.9,9.5,14.3,5,9.2,6.3,2.6,0.7,5.3,3.8,29.8
73-74,朱利叶斯-欧文,ABA,84,,40.5,51.20%,10.9,21.3,39.50%,0.2,0.5,76.60%,5.4,7.1,10.7,3.1,7.6,5.2,2.3,2.4,4.1,3.2,27.4
72-73,比利-康宁汉姆,ABA,84,,38.7,48.70%,9.2,18.8,28.60%,0.2,0.6,78.90%,5.6,7.1,12,2.9,9.2,6.3,2.6,,4.5,3.7,24.1
71-72,阿尔提斯-吉尔莫尔,ABA,84,,43.6,59.80%,9.6,16,,0,0,64.60%,4.7,7.2,17.8,5,12.7,2.7,,5,4,3.3,23.8
70-71,迈尔-丹尼尔斯,ABA,82,,38.7,51.40%,8.5,16.5,7.70%,0,0.2,67.90%,4,5.9,18,4.8,13.2,2.2,,,2.8,3.6,21
69-70,斯宾瑟-海伍德,ABA,84,,45.3,49.30%,11.7,23.8,0.00%,0,0.1,77.60%,6.5,8.4,19.5,6.3,13.1,2.3,,,3,2.6,30
68-69,迈尔-丹尼尔斯,ABA,76,,38.6,47.60%,9.4,19.7,0.00%,0,0.1,60.40%,5.3,8.7,16.5,5,11.5,1.5,,,3.6,3.6,24
67-68,康尼尔-霍金斯,ABA,70,,44.9,51.90%,9.1,17.5,22.20%,0,0.1,76.40%,8.6,11.3,13.5,5.3,8.2,4.6,,,2.9,3.5,26.8
,,,,,,,,,,,,,,,,,,,,,,,
